[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000606s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.010378s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010484s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000371s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000425s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000209s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000377s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001536s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000395s ]
[ 2015-02-24T00:01:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000445s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000823s ]
