[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001231s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006180s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001431s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001572s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.000862s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000969s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000517s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000577s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004651s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.005371s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Undefined index:  content IndexAction.class.php 第 7 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000701s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000767s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 49 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 52 行.
