[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000439s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000430s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000235s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000468s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001736s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001136s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001368s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001146s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001262s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000796s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000901s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000823s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001077s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011502s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011678s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000518s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000526s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000293s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000407s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001967s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000401s ]
[ 2015-02-27T23:39:21+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000453s ]
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Run CheckRoute Behavior [ RunTime:0.000685s ]
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Tag[ route_check ] --END-- [ RunTime:0.000773s ]
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000421s ]
[ 2015-02-27T23:39:22+08:00 ] /thinkphpTest/index.php/Login/createCode?code=da8d | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000471s ]
[ 2015-02-27T23:39:38+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:39:38+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000679s ]
[ 2015-02-27T23:39:38+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000771s ]
[ 2015-02-27T23:39:38+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:39:38+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
