[ 2015-02-17T21:35:59+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000836s ]
[ 2015-02-17T21:35:59+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000892s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001306s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001433s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005519s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.004734s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001562s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001625s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.016751s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016851s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000885s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000796s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000636s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000922s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003392s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001194s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001281s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000885s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000984s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002937s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.003930s ]
