[ 2015-03-01T23:15:51+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002190s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002555s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001445s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001540s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002137s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002216s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016106s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016202s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000849s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000843s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000681s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001373s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003931s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001347s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001529s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003102s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003445s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002713s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002878s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001944s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002011s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020042s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020123s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001432s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.003071s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003645s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001280s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009836s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001262s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001319s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001780s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001916s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002687s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002841s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004319s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004630s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000382s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004816s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.002962s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002377s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002461s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021872s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022025s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.002017s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001149s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000988s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001158s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005511s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001279s ]
[ 2015-03-01T23:25:40+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001334s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001292s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001384s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001546s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001647s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004026s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004708s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000350s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003068s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.002758s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002010s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002071s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019754s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019821s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001247s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001130s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001028s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004762s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001231s ]
[ 2015-03-01T23:25:41+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001283s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001753s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001879s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002144s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002240s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002230s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002313s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.017440s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017527s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001216s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001331s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002546s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001989s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007323s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001799s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001880s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001618s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001729s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001514s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001593s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002690s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002791s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020279s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020381s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001439s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001314s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001189s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001667s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005861s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001546s ]
[ 2015-03-01T23:25:42+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001643s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001850s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002048s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001342s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001401s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001933s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001994s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.063520s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063625s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002848s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.003140s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002632s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003172s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012180s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003973s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004244s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001459s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001596s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001275s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001365s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001838s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001927s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014288s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014369s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000844s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000817s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000637s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001268s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003740s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002353s ]
[ 2015-03-01T23:28:08+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002501s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000827s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000921s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000493s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000548s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001365s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001427s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013201s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013283s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000417s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000427s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001616s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003018s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000996s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001089s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001351s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001449s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001339s ]
