[ 2015-05-23T19:03:45+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001074s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ route_check ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run CheckRoute Behavior [ RunTime:0.001151s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001305s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ app_begin ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000724s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000815s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007536s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE id=49 LIMIT 1   [ RunTime:0.010309s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT `id` FROM `think_article` WHERE id<49 and isSubmitted=1 ORDER BY id desc LIMIT 1   [ RunTime:0.000116s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT `id` FROM `think_article` WHERE id>49 and isSubmitted=1 ORDER BY id LIMIT 1   [ RunTime:0.000094s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002397s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT * FROM `think_category`  [ RunTime:0.004089s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_template ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run LocationTemplate Behavior [ RunTime:0.001201s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001265s ]
